"Name","Total_Rating","category"
Hotel O Makassar near Losari Beach formerly Ocean View Hotel,,
Hotel O Subur,5.0,Fabulous
Collection O 91046 Hotel Remaja Indah Masamba,5.0,Fabulous
Hotel O Pondokan Tali Super,5.0,Fabulous
"Collection O 91488 Hotel Lingkarsut Jeneponto Near Patung kuda, Jeneponto",5.0,Fabulous
Hotel O Makassar near Mall Panakukkang formerly Sayang Home Stay,5.0,Fabulous
Hotel O Lulu Homestay,5.0,Fabulous
Hotel O Penginapan Radja Jeneponto,5.0,Fabulous
Hotel O Bontotangnga Homestay,5.0,Fabulous
Hotel O Pondok Orange Family,4.9,Very Good
Hotel O Grand Azizah,4.7,Very Good
Hotel O Wisma Jampea,4.6,Very Good
Hotel O Icha Homestay,4.6,Very Good
Hotel O Transit 2,4.4,Very Good
Hotel O Pondok Bintang,4.3,Very Good
Hotel O Pondok Ripuji,4.3,Very Good
Hotel O Transit 1,4.2,Very Good
Hotel O Pondok Feby Makassar,4.0,Very Good
Hotel O Wisma Dg Tata,3.9,Good
Hotel O Wisma Maysara Makassar,3.8,Good
